"term","estimate","std.error","statistic","p.value","Group","Measure","Disease"
"post:treat_group",42.4763692587224,17.994467443578,2.36052383277848,0.029735217695435,"Late","Prevalence","Chronic kidney disease due to hypertension"
"post:treat_group",21.223575210706,9.03005407923861,2.35032647916274,0.0303602830843792,"Late","Deaths","Drug use disorders"
"post:treat_group",24.6564021140931,10.5685701753014,2.33299317742287,0.0314509055042952,"Late","Deaths","Substance use disorders"
"post:treat_group",17.3057074277548,7.44067520573306,2.3258248679395,0.0319125010846178,"Late","Deaths","Opioid use disorders"
"post:treat_group",1900.71997853241,837.393487345576,2.26980506447147,0.0357423882496639,"Late","DALYs (Disability-Adjusted Life Years)","Drug use disorders"
"post:treat_group",2027.71269200246,897.854728698324,2.25839729656729,0.0365726697797637,"Late","DALYs (Disability-Adjusted Life Years)","Substance use disorders"
"post:treat_group",1719.34697370998,763.135296273826,2.25300412928751,0.0369713662401481,"Late","DALYs (Disability-Adjusted Life Years)","Opioid use disorders"
"post:treat_group",3.43282690338696,1.53851609606278,2.23125836133396,0.0386199760689634,"Late","Deaths","Alcohol use disorders"
"post:treat_group",3.46253240302172,1.5677199632099,2.20864215821568,0.0404061997669359,"Late","Deaths","Alzheimer's disease and other dementias"
"post:treat_group",2156.40140659072,977.988285673125,2.204935824059,0.0407060688313502,"Late","Prevalence","Opioid use disorders"
"post:treat_group",2080.17962071058,969.208870348716,2.14626556189291,0.0457330960157313,"Late","Prevalence","Drug use disorders"
